content,mid,like
拍完这期视频，胃里翻江倒海的，非常难受~！如果大家觉得本期对你有用，麻烦给俺个三连吧，万分感谢！[委屈],478691043,3306
这价格还想买到啥呢，味道大多中规中矩，但胜在价格便宜。一些“凡人榜”的东西，已经可以直接替代泡面了。这个算上米饭，大概≈普通泡面*2。但是量肯定也比普通泡面多。,306997520,67
"我也是重度外卖用户了，给大家分享点外卖经验:
1.一般同等价位下，包装越花哨精美，食品水平越烂。包括什么店长手写信之类的玩意儿。
2.看一下用户评价发的图，菜如果混着汁水糊烂一片，都是红烧等深色的，基本都是料理包。另外就是看厨房，不过这个现在也说不准。
3.吃现炒快餐还是选择本地连锁品牌有保证。
4.送的礼品饮料如果没有牌子不要喝，而且送的东西成本都是从食材成本里扣的，你想想。我点的正经外卖一般送汤，碰到送杂牌饮料的都料理包店。
5.料理包的竞争优势下，做小炒和盖浇的苍蝇馆子在一线城市几乎绝迹。可能料理包更加标准化和卫生，但我希望大家不要被工业化产品规训味蕾，保持点挑剔。",474572619,729
这种料理包容易出现在小碗菜的外卖里，基本上小碗菜都别信！除非见过它的线下门店，其他有怀疑的也看看商家照片，一般没堂食的我不敢吃。之前碰到一家刚开小碗菜感觉很好吃也很良心，量也大，给的垫桌纸上面还印了老板也经历过打工之类的经历心疼大家吃不饱啥的，用十几块给大家搭配了足够量有营养的饭之类的故事，还真挺感动哈哈哈。没想到后来一两个月又点了四五次，慢慢分量变少，咖喱变稀，蒸蛋都是水，整体从视频里的凡人榜变得比妖魔榜还不如。都是教训，建议打工人和学生都注意下。,282526398,3824
3元要什么自行车[大哭]我都吃3块的料理包了我在乎他健不健康好不好吃？[doge],525278172,34
非常相信这些全是科技与狠活的去看看@中国食品报融媒体 的视频，这种东西正规厂家一般生产出来的都是合规的，不过味道绝对没现做的好吃，毕竟两块钱和20块钱的差距在这里，还有最后不良商家的使用…不要相信低价有罪论[保佑],1986372508,325
本来很喜欢拉子你的，可现在……更加喜欢了[doge][doge][doge],1016756536,199
我很早就独居开始吃料理包了 现在料理包产业大了以后比以前可便宜多了  除了味道口感差一些  对付对付吃吃不出什么毛病的,823816,670
请大家不要无脑污名化看待料理包和合成肉，正规厂家生产的这类食物都是能够安全食用的，尤其是合成肉类，只是碎肉而已，肉还是肉，作为非大富大贵花钱追求性价比的普通百姓，我们要抵制的是那些违规违法的加工食品和非法商家。,197737883,218
外卖要想点炒菜必须点那种有堂食的店，最好是正儿八经的饭店。不然鬼都不知道给你用的什么，连锁店还好点是中央配送统一料理包，那种小店真的能把视频里这种东西给你送过去??,435527674,668
