content,mid,like
"推荐预制菜的4个点：
1.品牌预制菜厂家比一般餐馆餐品都干净
2.预制菜走量，原料价格比市场低很多，有性价比
3.出品稳定，口味不会差很多
4.料理方便
-----
什么情况下不买预制菜更好？
1.不缺钱，从原料上就领先，那么多半会比预制菜更好吃
2.不缺时间，自己会做饭做菜，或者有厨子帮做，出品比预制菜更好",11553986,670
"其他地方我不知道，我送外卖的，至少我这里能看到的，基本上没有预制菜的[怪我咯]10%都没有，不论小碗菜还是什么的，基本都是提前炒的一锅出。至于成本，我就说一点你就清楚，外卖店食材量可以自己控制的[笑哭]就视频里同款菜，板栗鸡，我们这里外卖店就是一勺土豆鸡块，再加2-3个板栗[怪我咯]鸡块给个4-5块，还都是有骨头的[笑哭]
另外，我其实不介意预制菜的，视频里的龙虾尾，我就自己买过吃，某宝销量很高，味道确实不错，相比外卖店自己做，其实有厂家能溯源的预制菜，更容易监管[怪我咯]",35618860,2657
"前几天买了捷百味的常温料理包，没有冰箱，不然就买谷言的了。
13种菜全买了。
黄焖鸡，味道还可以，但是全是土豆四块鸡肉太少了。
土豆牛肉，好吃，推荐。
番茄牛腩，牛腩ok，但是番茄口我个人吃不惯。
黄豆猪肘，好吃，有点像低配版隆江猪脚饭。
什锦菌菇，一般，60分刚及格。
不知道是不是微波炉加热时长调错了，重庆辣子鸡，毛氏红烧肉，鱼香肉丝三个菜都很难吃。
剩下几个菜还没吃。
为什么买常温料理包？单纯好奇心想试一下，好吃有多好吃，难吃又有多难吃[doge]",192381888,158
"我不知道为什么，只要是预制菜的视频，下面就有很多人推荐谷言，我就是被说动了，花了好几百，每一款都买了一两包，结果体验极其糟糕。
天猫的服务很差，买了十几个套餐，好几十包，结果到货发现，很多套餐少东西，有几个套餐直接没发，然后一些不喜欢没买的款也发来了，一问客服，说没发错，我自己写条子拍视频比对，客服才承认他们可能有问题，第二天通知我，然后我等了一天没反应，我去问，他们就拖，说什么调查要时间，我说你们自己说一天给我结果，一个订单，比对这么麻烦嘛，然后换了个客服，应该是是个管理，承认漏发错发，说给我补，让我安心等收货，等了一周多，没快递来，又去问，说搞忘了...我订单延长期都快强制付款了，我就很生气，太敷衍消费者了，这才说会尽快给我发货，结果第二次发货没有顺丰冷链，到货，全部解冻了，冰袋都是常温，找说法，只会说很抱歉我们会优化物流啥的。
再说味道，一言难尽，肉类还行，除了卤肉1卤肉2还有肥牛卷，肥牛卷是合成肉，口感吃的出来，卤肉系统都非常咸，也就回锅肉和牛腩系列还行。蔬菜类，没有一款好吃，口感非常怪异，尤其是地三鲜，还有一些豆腐款，麻婆豆腐口感是空洞的冻豆腐，不知道大家能接受吗。
洗碗发现，色素附着比较厉害，那个红油感觉是加了色素一样，洗碗洗得洗菜池都变色了...",2128292456,25
"对预制菜的想法就是，我自己买来，自己吃，没问题，因为价格便宜，比自己烧方便。
所以，卖预制菜的只能是超市，小卖部这种店铺，属于能让我知道这是预制菜，知道它的价格。然后我买回去热一下就能吃的。就当买方便面/自热火锅了。
但是如果你一个饭店，打着饭馆的名号，却用预制菜来糊弄我，别管你价格便宜还是贵，你都得被我骂死。我家是没微波炉了还是没有热水了，需要付钱找你个中间商帮我泡泡面？
一家面店，给你上份方便面你觉得像话吗？
一家火锅店，结果用的是自热火锅，你觉得这合理吗？",8026912,181
看热评蛮多人魔化预制菜的[笑哭]这个东西之前jhq做预制菜测评视频的时候我就发过一次还上过热评，我家就是做这个的，堂食和营业执照都是预制加现做标准的，真的没有这么恐怖，我家是做台湾卤肉饭的，材料包也并没有想象的那么便宜，都是大包的冷冻的，一袋能出30份左右，进货价要差不多两百五一包，一份堂食售价13，配现焯的青菜和胡萝卜，和当天卤的鸡蛋，属于薄利多销，客人其实都知道的，而且回头客非常多，其实店里只有肉类是预制而且保质期非常短，基本上隔五到七天就要进一次货，卤味的现做成本太高了，走不了大批量快餐模式只能走预制，很多人担心什么陈年料理包陈年老肉啊，其实有堂食多店几乎是不可能的，有没有厨房，后厨有没有开火，其实一眼就能看出来的，不必过分担心，而且现在卫生局要求厕所不能在吃饭和厨房的地方，要是实在担心，可以问老板借个厕所，百分之八十的可能可以看到厨房，如果态度非常强硬的说不给，那就掂量掂量吧，不过有的店里确实没有厕所，但是会给你指路，还有炖盅，其实炖盅料理包的成本比在店里做高太多了，有炖盅的店基本上不会考虑料理包的，说到底其实预制菜和料理包不可怕，可怕的是用着料理包卖着现做的钱和噱头,34144917,54
贵的预制菜还是可以偶尔吃一下，但是像15块16包还有梅菜扣肉宫保鸡丁这些预制菜真的别吃，以前图方便图便宜买过一次，吃了两天咽喉炎了，外卖也尽量不要点看起来就像预制菜名字的店和菜，红烧肉台湾卤肉饭辣子鸡鱼香肉丝这些简直是外卖预制菜的重灾区,373967901,2736
"预制菜本身没有什么问题，问题是有些商家拿预制菜来充当他们店的菜色，价格还昂贵，这我就不能接受了。

别说，有些预制菜看上去比某些厨师现炒的还好吃，这厨师炒的半生不熟的，恶心人[捂脸]",14323769,3
[吃瓜]点外卖的是韭菜，还是送外卖的是韭菜？？？？送外卖的看到了，会不会自己开店，自己送餐？？？,482490387,0
别觉得预制菜5-6快太便宜了不敢吃，比如板栗鸡，6块钱，鸡胸肉我自己买才7块钱一斤，一斤至少能做5-6份了吧，你想想厂家批量拿货是啥价格？他们批量拿原材料价格低得可怕，我们公司食堂别人直接送货就特别便宜，我们自己有时候都会让食堂帮忙带肉，不仅便宜，品质还好。最重要的，这些预制菜真的比很多路边小饭馆干净多了。,356040,5
