content,mid,like
之前在大学里经常点一家日式拉面，直到有一天突发奇想想去线下看看，于是就按照平台上的地址摸过去。导航上显示在一个小区里的时候我就有一种不好的预感，到了地方发现那小区就是一楼店铺二楼以上居民楼的结构，齐刷刷的全是专门做外卖的，没有店面，没有线下的顾客，平台上给的店面图全都是假的，现实只有一个门牌+作坊，找到那家日式拉面店，里面赫然一排微波炉和打包盒，两三个工人在那边很熟练地打包，那一天我很悲伤，后面再也没点过这类外卖。,325838994,1167
"外卖我有几个个人总结
1.头像越花里胡哨、越不知名，做的基本上就是预制菜
2.快餐连锁店，大部分感觉都是预制菜
3.卖的少，而且菜色不是很丰富，比较偏向于单一，例如川菜馆、粤菜馆等等，感觉更像大锅自炒，一部分商家会旧菜重炒",1260562331,950
亲，您的外卖去年已经做好了哦[星星眼],412972443,1706
"作为一个骑手讲几点
先看菜单要求是否有不接受备注，不可免辣什么的，这道大概率就是预制菜，别信什么不能免辣一类的话，不能接受顾客口味的那一定是菜和厨子的问题
再就是可以要求换菜，例如我们这鸭杂基本用酸豆角炒，你可以要求用辣椒或者芹菜炒。炒三丝要求去不要其中一个，或者其中一个换成什么。
现在餐馆是有的菜是会先做好的，青菜，啊一些热门菜，这个无法避免毕竟中午会忙不过来。和你点鸡腿汉堡会先做是一样的。
再就是很多商家都是有福利菜的，几毛几分的小菜这个别点，拿南昌举例，最多的是麻辣藕片，和酸辣土豆丝一类，很脏啊，不洗的，基本就是货到水枪一冲就是切了。拼好饭的单尤甚
最简单就是直接问骑手",486359946,181
"其实肥牛饭这玩意说是料理包其实很生硬。类似于甏肉干饭把子肉，你不能提要求把子肉不要肥肉，或者要用辣椒。因为这玩意相当于快餐，不能要求已经做好的汤汁换掉。点外卖的时候肥牛就已经是熟的了，没法改掉了。
不过话说回来，肥牛这东西哪有现切的。勉强也算是料理包吧。但我个人觉得不算预制菜。",168225759,89
不是啊，主要看时间如果在高峰期的不可能一份一份炒的，有些都是原料准备好，然后后期再复炒一遍的[笑哭]。这老板脾气真好，换成我们家的话，那我宁愿不接这个单，您换下一家吧。就说辣子鸡不要辣子，那我怎么炒辣子鸡呀。就算拿酱料炒酱料里有些也能看到明显辣椒，炒出来不但不好吃，还肯定差评。反正换成我家，要么不管，要么不接。,396872061,214
"我大概翻了一下评论，个人猜测不相信外卖有预制菜，或者说外卖大量使用预制菜的人当中50%属于。应该平时不怎么会做饭，不知道预制菜和自己炒的菜是真的有肉眼可见和口感上的区别的，换句话说就是双盲实验，很多人可能都能吃出来外卖和现炒（放30-45分钟）是有区别的
还有30%，属于是纯杠精，这个太正常了，要是哪天线上没有杠精的，我会觉得就世界末日了
剩下20%，可能是利益相关者吧
我表姐是做给火锅供应材料的，她们公司在去年开辟的新项目，就是预制菜和料理包，她亲自给我科普以及带我观摩了。预制菜和料理包对现在外卖行业的侵蚀有多严重，当然一般都是是那种连锁外卖店用的最多，特别是那种外卖时代后才出现的全国性连锁外卖店
但是我相信我这么说，肯定还是有一半以上的人不信的，一般都是那些杠精和利益相关者
我呢，就说一点一个做菜的人应该都明白我提出的观点：
回锅肉有一种传统做法，叫蒜苗回锅，一般餐馆里面做的蒜苗回锅，蒜青和蒜白的比例大概是8:2。蒜白的蒜辣味是很重的，一般要用菜刀给拍扁做菜的都明白我在说什么。而料理包和预制菜的蒜白很遗憾，你可能都看不到。因为它放不了那么久，蒜苗的蒜白部分是很厚的。放久了之后口感会很奇怪，同时没有味道会让食客认为是变质的。不信的人你就多观摩，多观察一下你外卖所点的蒜苗回锅有多少蒜白，然后蒜白的口感是脆的还是软绵的？以及蒜蓉的蒜辣味重不重，就是那种生蒜辣味。然后你再去找，你确定是线下线火线炒的店蒜苗，回锅你会发现几乎都有蒜白，然后蒜白的那种生蒜辣味是有的，甚至挺重的。
不止这点，还有很多家常菜，常年做饭的人一眼就能看出来有问题，一吃就能从口感和味道上吃出来这外卖不是料理包，也大致是预制菜
最后表明观点，我没有认为料理包和预制菜有什么问题，这是食品加工工业发展到现在的必然
只是我个人觉得挺悲哀的，因为年龄大的人会发现，你现在想在城市里面吃一些好吃的街边小店，那是越来越难遇到了
杭州是怎么变成美食荒漠的就是食品加工行业突飞猛进的太快了",142778918,8
我觉得就是预制菜发展的太快了，相关政策根本管不到预制菜上，于是预制菜直接起飞。。。我的话，如果干净卫生，味道说得过去，我肯定是能接受预制菜的，但预制菜得有预制菜的价位，现在很多餐馆，你哪怕去店里吃，都给你上的是预制菜，但还是按照现炒的价格来卖，这就有点太坑人了。。。反正10年前我是怎么也想不到，10年后的餐饮，居然想吃到现炒的菜都成了问题，这太离谱了。。。,168785,159
说反对酸菜鱼预制的xswl，做过酸菜鱼的都知道这玩意买现成的料包和鱼片才好吃且方便。家庭菜酸菜鱼一般用的是黑鱼，如果不想买鱼片，也没人会愿意把黑鱼削成鱼片的，太麻烦且浪费。酸菜鱼的料包一般买现成的，我们这酸菜不是什么地方都能买到的，但酸菜鱼料包小超市肯定有。,1546810542,62
"一、如何通过备注来判断外卖是否为预制菜，提供了一些简单的技巧和例子，并进行了实际测试和验证。
00:01 - 在同一家外卖店里面点两份一样的套餐 备注不同的口味 能不能判断出来他到底是不是预制菜
00:25 - 只要不能够微调的 那就一定是预制菜
02:48 - 如果是预制菜 会有微调的情况出现，例如咸的和甜的

二、一位消费者在点外卖时与商家的沟通及菜品的品尝过程，其中包括了酸菜鱼、辣子鸡、肥牛饭、番茄炒蛋、辣椒炒肉等菜品。
03:00 - 询问店家是否可以做辣子鸡，店家表示可以做，但要加干辣椒。
04:20 - 点了酸菜鱼和番茄炒鸡蛋，发现是预制菜，但店家服务态度好。
05:53 - 点了辣椒炒肉、口水鸡和鱼香肉丝，发现这些菜品可能是料理包，不是现炒的。

三、作者对四家外卖店菜品的评价，其中包括料理包和预制菜的问题。作者建议大家注意店铺的做法，尽可能选择现做的菜品。
06:00 - 预制菜现象普遍存在，但有些店家仍然坚持现做
06:24 - 辣椒炒肉可能是料理包，但商家很鸡贼，不会承认
08:15 - 现做现卖的店铺厨师会炒菜，能满足顾客的各种要求",358243654,260
预制菜一般看出餐快不快，还有个方法就是看是不是用一般的塑料袋装的，用那种印着自家招牌花里胡哨的袋子装的不说多了，百分之八十是，也可以直接私下骑手最简单粗暴[doge][doge],262156060,44
这能看出个锤子预制菜啊，但凡做过饭的，总不能来一单现做一单吧，骑手高峰期一接就是好几单起，哪有那个时间等。很多都是大体提前烧好，好熟的蔬菜最后放过一遍就好了，预制菜不便宜的，你要选烂的便宜的预制菜，中国人口很叼的，开不长的[笑哭][笑哭][笑哭],1323591,75
作为一个送外卖的我可以说几乎都是预制菜（至少我们这边是）有一间不是预制菜的只做外卖一共四个锅五个师傅一到中高峰或晚高峰根本就出不了那么快曾经我试过一次差不多20个人在门口等（我50多号隔壁的大哥都已经70多号了才出到40多）现场做的根本跟不上进度当然没有单的除外,35498645,469
"这期有点刻意了。就平时，工作时间，非工作时间，都点外卖或到店的，用这些方法根本判断不出来是不是预制菜：
1，工作日午饭，不可能给你定做，除非那旁边没什么人去很闲，有打工人上班族聚集的地方，午饭的菜绝大部分都是提前做好放在盘架子上的，就像食堂一样，但你并不知道这是现炒的还是预制菜堆起来的，同样不能定制不要什么什么配菜。我们旁边也有很多支持定制的（比如要什么样的口味），但无一例外午饭高峰都要排队且出餐效率不可能支持外卖，店里都供应不上。最简单的，公司食堂是预制菜吗？
2，到店吃，炒菜你可以分辨是不是预制菜，但是像面条汤包之类的以及大量的特色菜（例如黄焖鸡，鸡公煲这种名字明显的，没错，在面馆到店吃面条也有概率吃到面汤预制包），即便你可以加配菜，但是你并不能分辨是不是预制菜，因为很多这种“名小吃”都是有非常成熟的产业链。
3，就算可以定制，预制菜也是他热好给你放饭盒里面，你不想要什么他可以给你挑出来，但是很少有人这么干，偶尔遇到一两次也会给你弄，或者说忘记了，要么就是说有很多人点同一个菜，一次炒几份出来，不好定制。
最主要的判断还是经验，有些菜你一口下去就感觉和平时不一样的，有一种放了很久的感觉，那多半是了（但是不是所有的菜品都有这种感觉），还有一些同一个菜品你到哪个店都是一个味的，或者多家店菜单几乎一样且丰富的，其他的什么能不能定制，用什么形式包装，出餐速度之类的，最多是辅助判断，一个从来不做饭的人一样能靠经验判断一口下去这菜是不是预制菜。",110113567,24
这种故意不按照要求来或者装没看到，直接申请退款，把东西留着，单子也留着，到时候给客服打电话，店家100%得全额退款，我之前点外卖点一份烤鱼我特意标注别放辣椒，家里有小孩不能吃辣，还是放了一堆垃圾，我儿子和老婆都没法吃，直接打电话申请退款，20分钟左右就退了,274295479,4
酸菜鱼最骚的操作就是，你去店里吃的话就有现杀的鱼，但是你点外卖的话就是淘宝盒装的鱼，而且汤料基本都是料理包[doge],2086710462,23
预制菜这玩应在我们这四线小城市里可太火了，我记得有家叫什么“消失的potato”就是土豆泥拌饭，月售7000加。。。这玩应你说不是土豆粉冲的我都不信，还有一些小碗菜啊，盖饭啊就别点了，90%都是料理包，没办法，这年头有良心的商家越来越少了。。。。[笑哭],1086474020,1015
我个人认为不是料理包好不好的问题，可能让他做更不卫生，但是问题是我要买的不是预制菜，而且做不了可以说，找理由嘛。就卖完了，给你退了就好了。当然了我个人点外卖基本上只点去过的实体店，而且对我来说我的食谱也比较单一，因为我非常挑食，如果一个东西不和我的胃口我是不会吃的。那到新的店铺买东西就要承受浪费食物的风险，说实在的，倒不是我真的心疼粮食，主要是浪费钱，所以买来买去都是那么几家，包括我在外地打工那些年也是这样的[吃瓜]。,10364024,1
外卖和堂食最大区别就是价格搜索，线上第一次买只能识别到价格识别不到你是不是先做的，线上预制菜肯定比线上现炒的便宜，打价格战和刷销量现炒的都比不了，典型的劣币驱逐良币。别跟我说什么线上预制菜比线下现炒的贵，线上成本本来就是要比线下高，平台和外卖小哥都是要成本的，除了正正市中心其他线下成本都比线上便宜。呵呵哒,477196864,5
问题是这种料理包的保质期，包括生产商本身，生产过程都是要人去监控跟踪的，原本食品监控就做得稀碎，再加上这些新问题。。那几个赚到了我不敢说[微笑]，但肯定是韭菜们亏了,273070234,0
"一、如何通过备注来判断外卖是否为预制菜，提供了一些简单的技巧和例子，并进行了实际测试和验证。
00:01 - 在同一家外卖店里面点两份一样的套餐 备注不同的口味 能不能判断出来他到底是不是预制菜
00:25 - 只要不能够微调的 那就一定是预制菜
02:48 - 如果是预制菜 会有微调的情况出现，例如咸的和甜的

二、一位消费者在点外卖时与商家的沟通及菜品的品尝过程，其中包括了酸菜鱼、辣子鸡、肥牛饭、番茄炒蛋、辣椒炒肉等菜品。
03:00 - 询问店家是否可以做辣子鸡，店家表示可以做，但要加干辣椒。
04:20 - 点了酸菜鱼和番茄炒鸡蛋，发现是预制菜，但店家服务态度好。
05:53 - 点了辣椒炒肉、口水鸡和鱼香肉丝，发现这些菜品可能是料理包，不是现炒的。

三、作者对四家外卖店菜品的评价，其中包括料理包和预制菜的问题。作者建议大家注意店铺的做法，尽可能选择现做的菜品。
06:00 - 预制菜现象普遍存在，但有些店家仍然坚持现做
06:24 - 辣椒炒肉可能是料理包，但商家很鸡贼，不会承认
08:15 - 现做现卖的店铺厨师会炒菜，能满足顾客的各种要求[胜利]",3.54661E+15,97
所以我会自己做饭，自己学会做饭很重要。,3.54639E+15,1
酸菜鱼这个东西，我不是沿海地区的人都能吃得出来是不是现做的，一般是不会有带鱼肉的预制，都用的是调料包加酸菜，调料包最多也就是点味精＋盐，最重要的是酸菜，有可能那个酸菜就是某方便面同款,350034761,1
看不懂有一些人在想什么，说能吃就行了，要求这么高！商家拿预制菜去卖现炒的价格，那能不能让他们把利润也吐出来。,678443721,0
我去我们这一家小炒店，鱼香肉丝就不能不要胡萝卜，因为就夫妻两个人，菜码都是提前切好备料的，不要胡萝卜人家还得从菜码里往出挑。,10762968,1
预制菜可以理解为和方便面属于同一种类型，但是，预制菜过分的是它竟然想要覆盖各位的一日三餐……试想一下，顿顿吃方便面连着吃三个月你的身体会怎么样？？？,688135692,0
外卖料理包的话我也没少吃，虽然味道过得去，但是吃多了会犯恶心，可能是防腐剂添加剂那些加多了，可能吃，但这些添加剂还是少吃点为妙，热锅炒出来的不香嘛[脱单doge],49545795,1
备注了有啥用？点了微辣的不辣，第二次点辣也不辣，最后得出结论，这家店只会做不辣的，辣只是随便标的。看我的ip，我对辣的标准真的不高，一点点辣在我眼里就是微辣了，但这家是真的没有任何辣，就是纯酱油味，服了。[哈欠],301148926,2
如何分辨预制菜：如果它是预制菜，那就是预制菜；如果它不是预制菜，那就不是预制菜,33809401,1
[辣眼睛]其实基于现在外卖行业这么兴盛，应该出台一些法规要求商家必须标注出菜品是预制还是现做，预制冒充现炒的可以适当处罚，毕竟预包装产品和现做产品根本上的要求规范都不一样，明确区分出来还是很有必要的。,408805087,2
那我开家店名就叫料理包的外卖店。你们正常炒的一份卖20.我就卖10块或者15会不会有市场还不被骂呢[脸红][脸红][嗑瓜子],384319761,1
"其实up想要体现的是备注中的微调是否能够执行来判断是不是预制菜，
但是有一些菜的备注完全超出了“微调”这个范围。口水鸡不要芝麻，老乡鸡要去除葱姜蒜，酸菜鱼不要辣椒，西红柿炒鸡蛋要放一点辣椒这些的算是微调，毕竟菜本身的主料没有发生改变，只不过口味发生了改变。
但是，辣子鸡不要辣椒这个就明显超出“微调”范围了，因为辣子鸡的主成分包含辣椒，如果不要辣椒那么就相当于直接把主料进行改变，但凡把主料进行改动就完全不是微调了。同样的，辣椒炒肉不要肉也超出“微调”范围，既然辣椒炒肉不要肉，那么我直接点炒辣椒性价比其实会更高（按照这个说法，我也可以说西红柿炒蛋不要蛋，酸菜鱼不要酸菜，老乡鸡不要鸡，藜蒿炒腊肉不要藜蒿等这些要求，但是这些菜也将是另外的菜了）",85114025,1
